"","ID","del","m","n","b","cn","cp","cnp","cpn","g","rhop","rhon","Cnp"
"119",119,0.1,0.2,0,0.5,0.2,0.1,0.1,0.2,0,0.499,0,NA
"120",120,0.1,0.2,0,0.4,0.2,0.1,0.1,0.2,0,0.362,0,NA
"121",121,0.1,0.2,0,0.8,0.05,0.15,0.1,0.2,0,0,0.719,NA
"122",122,0.1,0.2,0,0.7,0.05,0.15,0.1,0.2,0,0,0.675,NA
"123",123,0.1,0.2,0,0.6,0.05,0.15,0.1,0.2,0,0,0.614,NA
"124",124,0.1,0.2,0,0.5,0.05,0.15,0.1,0.2,0,0,0.527,NA
"125",125,0.1,0.2,0,0.4,0.05,0.15,0.1,0.2,0,0,0.394,NA
"126",126,0.1,0.2,0,0.8,0.1,0.15,0.1,0.2,0,0.69,0,NA
"127",127,0.1,0.2,0,0.7,0.1,0.15,0.1,0.2,0,0.638,0,NA
"128",128,0.1,0.2,0,0.6,0.1,0.15,0.1,0.2,0,0.569,0,NA
"129",129,0.1,0.2,0,0.5,0.1,0.15,0.1,0.2,0,0.472,0,NA
"130",130,0.1,0.2,0,0.4,0.1,0.15,0.1,0.2,0,0.333,0,NA
"131",131,0.1,0.2,0,0.8,0.15,0.15,0.1,0.2,0,0.69,0,NA
"132",132,0.1,0.2,0,0.7,0.15,0.15,0.1,0.2,0,0.638,0,NA
"133",133,0.1,0.2,0,0.6,0.15,0.15,0.1,0.2,0,0.569,0,NA
"134",134,0.1,0.2,0,0.5,0.15,0.15,0.1,0.2,0,0.472,0,NA
"135",135,0.1,0.2,0,0.4,0.15,0.15,0.1,0.2,0,0.333,0,NA
"136",136,0.1,0.2,0,0.8,0.2,0.15,0.1,0.2,0,0.69,0,NA
"137",137,0.1,0.2,0,0.7,0.2,0.15,0.1,0.2,0,0.638,0,NA
"138",138,0.1,0.2,0,0.6,0.2,0.15,0.1,0.2,0,0.569,0,NA
"139",139,0.1,0.2,0,0.5,0.2,0.15,0.1,0.2,0,0.472,0,NA
"140",140,0.1,0.2,0,0.4,0.2,0.15,0.1,0.2,0,0.333,0,NA
"141",141,0.1,0.2,0,0.8,0.05,0.2,0.1,0.2,0,0,0.719,NA
"142",142,0.1,0.2,0,0.7,0.05,0.2,0.1,0.2,0,0,0.675,NA
"143",143,0.1,0.2,0,0.6,0.05,0.2,0.1,0.2,0,0,0.614,NA
"144",144,0.1,0.2,0,0.5,0.05,0.2,0.1,0.2,0,0,0.527,NA
"145",145,0.1,0.2,0,0.4,0.05,0.2,0.1,0.2,0,0,0.394,NA
"146",146,0.1,0.2,0,0.8,0.1,0.2,0.1,0.2,0,0.075,0.627,0.723019670388091
"147",147,0.1,0.2,0,0.7,0.1,0.2,0.1,0.2,0,0.07,0.584,0.709393346379648
"148",148,0.1,0.2,0,0.6,0.1,0.2,0.1,0.2,0,0.063,0.524,0.696716345571307
"149",149,0.1,0.2,0,0.5,0.1,0.2,0.1,0.2,0,0.053,0.441,0.68455054977966
"150",150,0.1,0.2,0,0.4,0.1,0.2,0.1,0.2,0,0.038,0.318,0.66203243958954
"151",151,0.1,0.2,0,0.8,0.15,0.2,0.1,0.2,0,0.644,0.032,0.727872670807453
"152",152,0.1,0.2,0,0.7,0.15,0.2,0.1,0.2,0,0.594,0.027,0.685871056241427
"153",153,0.1,0.2,0,0.6,0.15,0.2,0.1,0.2,0,0.525,0.023,0.662525879917184
"154",154,0.1,0.2,0,0.5,0.15,0.2,0.1,0.2,0,0.429,0.019,0.613421666053245
"155",155,0.1,0.2,0,0.4,0.15,0.2,0.1,0.2,0,0.294,0.015,0.680272108843538
"156",156,0.1,0.2,0,0.8,0.2,0.2,0.1,0.2,0,0.66,0.015,0.707070707070707
"157",157,0.1,0.2,0,0.7,0.2,0.2,0.1,0.2,0,0.607,0.013,0.633633253073121
"158",158,0.1,0.2,0,0.6,0.2,0.2,0.1,0.2,0,0.536,0.011,0.67842605156038
"159",159,0.1,0.2,0,0.5,0.2,0.2,0.1,0.2,0,0.438,0.009,0.76103500761035
"160",160,0.1,0.2,0,0.4,0.2,0.2,0.1,0.2,0,0.301,0.007,0.474608448030375
"161",161,0.1,0.2,0,0.8,0.05,0.05,0.15,0.2,0,0,0.719,NA
"162",162,0.1,0.2,0,0.7,0.05,0.05,0.15,0.2,0,0,0.675,NA
"163",163,0.1,0.2,0,0.6,0.05,0.05,0.15,0.2,0,0,0.614,NA
"164",164,0.1,0.2,0,0.5,0.05,0.05,0.15,0.2,0,0,0.527,NA
"165",165,0.1,0.2,0,0.4,0.05,0.05,0.15,0.2,0,0,0.394,NA
"166",166,0.1,0.2,0,0.8,0.1,0.05,0.15,0.2,0,0,0.705,NA
"167",167,0.1,0.2,0,0.7,0.1,0.05,0.15,0.2,0,0,0.657,NA
"168",168,0.1,0.2,0,0.6,0.1,0.05,0.15,0.2,0,0,0.592,NA
"169",169,0.1,0.2,0,0.5,0.1,0.05,0.15,0.2,0,0,0.499,NA
"170",170,0.1,0.2,0,0.4,0.1,0.05,0.15,0.2,0,0,0.362,NA
"171",171,0.1,0.2,0,0.8,0.15,0.05,0.15,0.2,0,0.719,0,NA
"172",172,0.1,0.2,0,0.7,0.15,0.05,0.15,0.2,0,0.675,0,NA
"173",173,0.1,0.2,0,0.6,0.15,0.05,0.15,0.2,0,0.614,0,NA
"174",174,0.1,0.2,0,0.5,0.15,0.05,0.15,0.2,0,0.527,0,NA
"175",175,0.1,0.2,0,0.4,0.15,0.05,0.15,0.2,0,0.394,0,NA
"176",176,0.1,0.2,0,0.8,0.2,0.05,0.15,0.2,0,0.719,0,NA
"177",177,0.1,0.2,0,0.7,0.2,0.05,0.15,0.2,0,0.675,0,NA
"178",178,0.1,0.2,0,0.6,0.2,0.05,0.15,0.2,0,0.614,0,NA
"179",179,0.1,0.2,0,0.5,0.2,0.05,0.15,0.2,0,0.527,0,NA
"180",180,0.1,0.2,0,0.4,0.2,0.05,0.15,0.2,0,0.394,0,NA
"181",181,0.1,0.2,0,0.8,0.05,0.1,0.15,0.2,0,0,0.719,NA
"182",182,0.1,0.2,0,0.7,0.05,0.1,0.15,0.2,0,0,0.675,NA
"183",183,0.1,0.2,0,0.6,0.05,0.1,0.15,0.2,0,0,0.614,NA
"184",184,0.1,0.2,0,0.5,0.05,0.1,0.15,0.2,0,0,0.527,NA
"185",185,0.1,0.2,0,0.4,0.05,0.1,0.15,0.2,0,0,0.394,NA
"186",186,0.1,0.2,0,0.8,0.1,0.1,0.15,0.2,0,0,0.705,NA
"187",187,0.1,0.2,0,0.7,0.1,0.1,0.15,0.2,0,0,0.657,NA
"188",188,0.1,0.2,0,0.6,0.1,0.1,0.15,0.2,0,0,0.592,NA
"189",189,0.1,0.2,0,0.5,0.1,0.1,0.15,0.2,0,0,0.499,NA
"190",190,0.1,0.2,0,0.4,0.1,0.1,0.15,0.2,0,0,0.362,NA
"191",191,0.1,0.2,0,0.8,0.15,0.1,0.15,0.2,0,0.705,0,NA
"192",192,0.1,0.2,0,0.7,0.15,0.1,0.15,0.2,0,0.657,0,NA
"193",193,0.1,0.2,0,0.6,0.15,0.1,0.15,0.2,0,0.592,0,NA
"194",194,0.1,0.2,0,0.5,0.15,0.1,0.15,0.2,0,0.499,0,NA
"195",195,0.1,0.2,0,0.4,0.15,0.1,0.15,0.2,0,0.362,0,NA
"196",196,0.1,0.2,0,0.8,0.2,0.1,0.15,0.2,0,0.705,0,NA
"197",197,0.1,0.2,0,0.7,0.2,0.1,0.15,0.2,0,0.657,0,NA
"198",198,0.1,0.2,0,0.6,0.2,0.1,0.15,0.2,0,0.592,0,NA
"199",199,0.1,0.2,0,0.5,0.2,0.1,0.15,0.2,0,0.499,0,NA
"200",200,0.1,0.2,0,0.4,0.2,0.1,0.15,0.2,0,0.362,0,NA
